ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13806207,JJ217784,04/14/2025 12:20:00 PM,064XX N SHERIDAN RD,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,2432,24,49,1,6,1167108,1942847,2025,04/22/2025 03:41:56 PM,41.99873416,-87.66061312,"(41.998734156, -87.660613118)"
13812702,JJ224991,04/14/2025 12:17:00 PM,080XX S FRANCISCO AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,FALSE,TRUE,835,8,18,70,2,,,2025,04/22/2025 03:41:56 PM,,,
13805460,JJ217758,04/14/2025 12:16:00 PM,0000X E 113TH PL,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,SIDEWALK,TRUE,FALSE,531,5,9,49,26,1178505,1829725,2025,04/22/2025 03:41:56 PM,41.68806604,-87.62213349,"(41.688066043, -87.622133486)"
13805420,JJ217695,04/14/2025 12:15:00 PM,032XX W 63RD ST,820,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,823,8,14,66,6,1155851,1862670,2025,04/22/2025 03:41:56 PM,41.77895605,-87.70418678,"(41.778956049, -87.704186784)"
13805464,JJ217690,04/14/2025 12:14:00 PM,012XX S KEDVALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1011,10,24,29,08B,1148912,1894122,2025,04/22/2025 03:41:56 PM,41.86540126,-87.7288148,"(41.86540126, -87.728814804)"
13805954,JJ217792,04/14/2025 12:12:00 PM,065XX W DIVERSEY AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,2512,25,36,19,6,1132377,1917897,2025,04/22/2025 03:41:56 PM,41.9309465,-87.78896265,"(41.930946496, -87.788962647)"
13806962,JJ219002,04/14/2025 12:05:00 PM,008XX S WELLS ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,123,1,34,32,6,1174841,1896545,2025,04/22/2025 03:41:56 PM,41.87150966,-87.63355634,"(41.871509658, -87.63355634)"
13806864,JJ219487,04/14/2025 12:04:00 PM,015XX S WABASH AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,131,1,3,33,26,1177014,1892855,2025,04/22/2025 03:41:56 PM,41.86133518,-87.62569018,"(41.861335178, -87.625690175)"
13805745,JJ218214,04/14/2025 12:00:00 PM,050XX W NEWPORT AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,1634,16,31,15,26,1142175,1922468,2025,04/22/2025 03:41:56 PM,41.94331341,-87.75284272,"(41.943313412, -87.752842723)"
13805612,JJ217951,04/14/2025 12:00:00 PM,108XX S PEORIA ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,2234,22,21,75,11,1172245,1832924,2025,04/22/2025 03:41:56 PM,41.69698414,-87.64495718,"(41.696984139, -87.644957176)"
13812115,JJ225757,04/14/2025 12:00:00 PM,014XX N CLEVELAND AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1821,18,2,8,6,,,2025,04/22/2025 03:41:56 PM,,,
13807624,JJ220211,04/14/2025 12:00:00 PM,030XX N NEW ENGLAND AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,FALSE,FALSE,2511,25,36,18,11,1129895,1919359,2025,04/22/2025 03:41:56 PM,41.93500128,-87.79805013,"(41.935001281, -87.798050132)"
13812493,JJ226355,04/14/2025 12:00:00 PM,049XX S HONORE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,931,9,15,61,11,,,2025,04/22/2025 03:41:56 PM,,,
13808815,JJ222019,04/14/2025 12:00:00 PM,048XX S LAKE PARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,222,2,4,39,14,1186842,1873319,2025,04/22/2025 03:41:56 PM,41.80749934,-87.59023448,"(41.807499342, -87.590234482)"
13805780,JJ218241,04/14/2025 12:00:00 PM,044XX S PRAIRIE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,FALSE,FALSE,215,2,3,38,11,1178784,1875616,2025,04/22/2025 03:41:56 PM,41.81398989,-87.61971867,"(41.813989891, -87.619718671)"
